purchase_date,salesbyday
2021-05-25,51570.4
2021-05-26,42168.48
2021-05-27,36510.42
2021-05-28,32801.55
2021-05-29,35905.51
2021-05-30,47165.03
2021-05-31,56004.25
2021-06-01,71787.37
2021-06-02,69393.42
2021-06-03,53251.79
2021-06-04,74293.59
2021-06-05,46106.63
2021-06-06,46855.63
2021-06-07,52198.63
2021-06-08,53055.19
2021-06-09,50039.55
2021-06-10,41018.62
2021-06-11,33217.11
2021-06-12,46027.42
2021-06-13,49583.58
2021-06-14,54109.21
2021-06-15,53977.81
2021-06-16,65334.02
2021-06-17,101038.4
2021-06-18,89196.63
2021-06-19,71464.86
2021-06-20,62679.46
2021-06-21,42857.59
2021-06-22,25955.64
2021-06-23,21473.94
2021-06-24,13361.64
2021-06-25,12456.67
2021-06-26,9726.75
2021-06-27,6292.59
2021-06-28,4260.66
2021-06-29,1762.7
2021-06-30,166.46
