Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,MH,VOD
Day 6,PSG Talon,Rogue (European Team),1 - 0,1,10.19,Hecarim,Twisted Fate,Nidalee,Lucian,Shen,MISSING DATA,Ornn,"Orianna, Lillia","Graves, Syndra",Irelia,Twitch,Pantheon,Alistar,Sett,Senna,"Aphelios, Thresh",Braum,Top,Jungle,Mid,Bot,Support,Mid,Jungle,Top,Bot,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1532242?gameHash=596b905b60189dff,https://youtu.be/JZ99qLlfynU?t=58
Day 6,JD Gaming,PSG Talon,0 - 1,2,10.19,Twisted Fate,Sett,Kalista,Lucian,Orianna,Nidalee,Graves,"Syndra, Ornn","Kayle, Galio",Kindred,Pantheon,Senna,Bard,Twitch,Caitlyn,"Ezreal, Karma",Lux,Jungle,Top,Mid,Bot,Support,Mid,Top,Jungle,Bot,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1532233?gameHash=8115781c44e0aed1,https://youtu.be/VjiAg1msLYk?t=14
Day 6,DAMWON Gaming,Rogue (European Team),1 - 0,1,10.19,Ornn,Camille,Renekton,Pantheon,Lucian,Nidalee,Graves,"Ashe, Lillia","Senna, Twisted Fate",Ryze,Bard,Gangplank,Alistar,Sett,Nautilus,"Leona, Kennen",Sion,Jungle,Bot,Mid,Support,Top,Bot,Jungle,Mid,Support,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1532231?gameHash=9769415fb51da065,https://youtu.be/B8aP9n2RVzw?t=38
Day 6,Rogue (European Team),JD Gaming,0 - 1,2,10.19,Twisted Fate,Irelia,Caitlyn,Akali,Nidalee,Lucian,Ornn,"Sett, Sylas","Graves, Orianna",Ekko,Ashe,Ezreal,Senna,Twitch,Jhin,"Kalista, Pantheon",Camille,Top,Jungle,Mid,Bot,Support,Support,Jungle,Mid,Bot,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1532217?gameHash=a877619ac27f3ace,https://youtu.be/EgpSKQDOtGQ?t=74
Day 6,PSG Talon,DAMWON Gaming,0 - 1,2,10.19,Twisted Fate,Senna,Camille,Lucian,Nidalee,Orianna,Ashe,"Ornn, Graves","Kindred, Syndra",Jhin,Lulu,Akali,Sylas,Pantheon,Ekko,"Gangplank, Tahm Kench",Bard,Bot,Jungle,Mid,Top,Support,Top,Jungle,Bot,Mid,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1532201?gameHash=731fdcc48d653105,https://youtu.be/WdfCzSLvz58?t=103
Day 5,Suning,G2 Esports,1 - 0,1,10.19,Ornn,Nidalee,Shen,Twisted Fate,Lucian,Galio,Syndra,"Graves, Ekko","Camille, Ezreal",Renekton,Lee Sin,Ashe,Rakan,Thresh,Senna,"Bard, Jarvan IV",Kalista,Mid,Top,Bot,Support,Jungle,Jungle,Mid,Top,Support,Bot,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551941?gameHash=4590477d68f553a9,https://youtu.be/N5VjNv6bD50?t=362
Day 5,Team Liquid,Machi Esports,1 - 0,1,10.19,Volibear,Sett,Camille,Twitch,Lucian,Graves,Syndra,"Ornn, Lee Sin","Shen, Lillia",Kassadin,Kalista,Tahm Kench,Caitlyn,Ezreal,Ashe,"Pantheon, Senna",Bard,Mid,Top,Jungle,Support,Bot,Top,Jungle,Mid,Bot,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551936?gameHash=392bf085aba755b7,https://youtu.be/Hzc7rofMuXo?t=44
Day 5,Suning,Team Liquid,0 - 1,2,10.19,Ornn,Renekton,Shen,Camille,Kalista,Nidalee,Graves,"Sett, Lillia","Twisted Fate, Jayce",Malphite,Ezreal,Syndra,Caitlyn,Orianna,Jhin,"Senna, Tahm Kench",Bard,Jungle,Mid,Top,Bot,Support,Mid,Jungle,Top,Bot,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551926?gameHash=d6a0b78c3cf991c8,https://youtu.be/uo9Rd8rFpa0?t=279
Day 5,G2 Esports,Machi Esports,1 - 0,1,10.19,Volibear,Camille,Syndra,Twisted Fate,Sett,Nidalee,Lucian,"Ornn, Graves","Lillia, Shen",Orianna,Caitlyn,Ashe,Twitch,Leona,Ezreal,"Jhin, Rakan",Alistar,Mid,Jungle,Top,Bot,Support,Top,Jungle,Mid,Bot,Support,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551921?gameHash=56d1706cc003fab9,https://youtu.be/PqJ0V0LtNPU?t=81
Day 5,Machi Esports,Suning,0 - 1,2,10.19,Nidalee,Ornn,Camille,Renekton,Lillia,Twisted Fate,Syndra,"Galio, Graves","Volibear, Ashe",Bard,Karma,Ezreal,Tahm Kench,Wukong,Jhin,"Jayce, Nautilus",Irelia,Mid,Jungle,Bot,Top,Support,Mid,Jungle,Support,Bot,Top,SB,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/1551915?gameHash=d06acd62bd02c346,https://youtu.be/WvZyuduKMYY?t=48
