,date,state,PM2.5,CO,NO2,PM10,SO2
947,2020-02-05,Alaska,5.9,,NA,26,NA
974,2020-02-06,Alaska,3.3,,NA,7,NA
1001,2020-02-07,Alaska,1.4,,NA,13,NA
1028,2020-02-08,Alaska,2.2,,NA,17,NA
1055,2020-02-09,Alaska,5.2,,NA,5,NA
1082,2020-02-10,Alaska,5.8,,NA,12,NA
1109,2020-02-11,Alaska,11.8,,NA,21,NA
1136,2020-02-12,Alaska,4.4,,NA,7,NA
1163,2020-02-13,Alaska,2.5,,NA,20,NA
1190,2020-02-14,Alaska,10.8,,NA,23,NA
1217,2020-02-15,Alaska,2.9,,NA,11,NA
1244,2020-02-16,Alaska,13.3,,NA,19,NA
1271,2020-02-17,Alaska,0.4,,NA,23,NA
1298,2020-02-18,Alaska,-1.3,,NA,22,NA
1325,2020-02-19,Alaska,0.1,,NA,12,NA
1352,2020-02-20,Alaska,-1.2,,NA,19,NA
1379,2020-02-21,Alaska,2,,NA,8,NA
1406,2020-02-22,Alaska,1.7,,NA,13,NA
1433,2020-02-23,Alaska,NA,,NA,11,NA
1460,2020-02-24,Alaska,NA,,NA,23,NA
1487,2020-02-25,Alaska,4.6,,NA,23,NA
1514,2020-02-26,Alaska,2.5,,NA,24,NA
1541,2020-02-27,Alaska,7.1,,NA,23,NA
1568,2020-02-28,Alaska,6.5,,NA,25,NA
1595,2020-02-29,Alaska,4.6,,NA,26,NA
1622,2020-03-01,Alaska,0.2,,NA,11,NA
1649,2020-03-02,Alaska,2,,NA,13,NA
1676,2020-03-03,Alaska,3.1,,NA,20,NA
1703,2020-03-04,Alaska,3.6,,NA,14,NA
1730,2020-03-05,Alaska,2.7,,NA,24,NA
1757,2020-03-06,Alaska,5.6,,NA,27,NA
1784,2020-03-07,Alaska,5.1,,NA,10,NA
1811,2020-03-08,Alaska,2.9,,NA,14,NA
1837,2020-03-09,Alaska,1.8,,NA,11,NA
1863,2020-03-10,Alaska,2.5,,NA,5,NA
1890,2020-03-11,Alaska,5,,NA,24,NA
