,date,state,PM2.5,CO,NO2,PM10,SO2
7374,2020-04-02,Utah,2,0,19.7,3,0.9
7398,2020-04-03,Utah,2,0.2,17.9,4,1.2
7421,2020-04-04,Utah,3,0.2,41.1,NA,1.2
7444,2020-04-05,Utah,4.6,0.1,19,6,1.3
7467,2020-04-06,Utah,3.1,0,8.8,4,1.1
7491,2020-04-07,Utah,3.6,0,31.1,14,0.9
7514,2020-04-08,Utah,2.9,0.1,31.5,9,1.9
7536,2020-04-09,Utah,2.7,0,16.4,16,1.2
7559,2020-04-10,Utah,3.2,0,24.2,1,1.3
7583,2020-04-11,Utah,4.4,0,26.8,15,1.1
7607,2020-04-12,Utah,1.7,0,7.7,8,1.2
7630,2020-04-13,Utah,3.4,0,10.8,33,1.1
7654,2020-04-14,Utah,4.1,0.1,36.3,17,1.1
7677,2020-04-15,Utah,3,0,18.4,5,1.6
7700,2020-04-16,Utah,2,0,11.5,4,1.4
7724,2020-04-17,Utah,4.3,0.1,26.8,16,1
7748,2020-04-18,Utah,5.5,0.1,31.1,14,1.3
7772,2020-04-19,Utah,3.4,0,22.7,10,1.1
7796,2020-04-20,Utah,4.2,0,29.5,18,1.2
7820,2020-04-21,Utah,4.7,0.1,33,22,1.7
7844,2020-04-22,Utah,4.2,0.1,15.8,36,1.3
7868,2020-04-23,Utah,2.7,0,9.9,14,0.7
7892,2020-04-24,Utah,2.8,0,26,10,0.9
7916,2020-04-25,Utah,3.8,0,21.5,11,0.7
7940,2020-04-26,Utah,3.4,0,13,16,0.9
7964,2020-04-27,Utah,5.4,0,23.7,32,1
7988,2020-04-28,Utah,6.8,0,25.4,19,0.9
8012,2020-04-29,Utah,3.1,0,21.2,25,0.7
8036,2020-04-30,Utah,4.9,0,22.1,58,1.2
8060,2020-05-01,Utah,4.5,0,NA,NA,0.9
8084,2020-05-02,Utah,5.1,0,NA,NA,0.7
8108,2020-05-03,Utah,3.2,0,NA,NA,0.8
8132,2020-05-04,Utah,2.6,0,NA,NA,0.8
8156,2020-05-05,Utah,4,0,NA,NA,1
8180,2020-05-06,Utah,9.7,0,NA,NA,1.1
8204,2020-05-07,Utah,3.4,0,NA,NA,NA
8226,2020-05-08,Utah,3.8,0.1,NA,NA,0.3
8250,2020-05-09,Utah,4.4,0.2,NA,NA,0.3
8274,2020-05-10,Utah,4.8,0.2,NA,NA,0.3
8298,2020-05-11,Utah,8.8,0,NA,NA,0.4
8322,2020-05-12,Utah,6.4,0,NA,NA,0.4
8346,2020-05-13,Utah,2.2,-0.1,NA,NA,0.3
8370,2020-05-14,Utah,2.8,-0.1,NA,NA,0.3
8394,2020-05-15,Utah,2.4,0,NA,NA,0.3
8418,2020-05-16,Utah,3.2,0,NA,NA,0.3
8442,2020-05-17,Utah,5.7,0,NA,NA,0.3
8466,2020-05-18,Utah,10.5,0,NA,NA,0.4
8490,2020-05-19,Utah,13.9,-0.1,NA,NA,0.4
8514,2020-05-20,Utah,6.5,-0.1,NA,NA,0.3
8537,2020-05-21,Utah,2.1,-0.1,NA,NA,0.3
8561,2020-05-22,Utah,2.2,-0.1,NA,NA,0.4
8585,2020-05-23,Utah,1.6,0,NA,NA,0.2
8609,2020-05-24,Utah,2.2,0,NA,NA,0.2
8633,2020-05-25,Utah,3.2,0,NA,NA,0.3
8657,2020-05-26,Utah,3.2,0,NA,NA,0.3
8681,2020-05-27,Utah,3.6,-0.1,NA,NA,0.4
8705,2020-05-28,Utah,4.3,-0.1,NA,NA,2.1
8729,2020-05-29,Utah,5.4,-0.1,NA,NA,0.7
8752,2020-05-30,Utah,4.1,-0.2,NA,NA,0.3
8775,2020-05-31,Utah,11.1,-0.2,NA,NA,0.4
8798,2020-06-01,Utah,NA,-0.1,NA,NA,NA
5100,2020-01-01,Vermont,0.9,0.3,5.6,1,0.2
5125,2020-01-02,Vermont,5.2,0.3,7.2,NA,0.4
5150,2020-01-03,Vermont,6.1,0.5,25.5,NA,0.3
5175,2020-01-04,Vermont,3.9,0.5,15.3,7,0.3
5200,2020-01-05,Vermont,3.9,0.3,6.8,NA,0.5
5225,2020-01-06,Vermont,3.1,0.4,17.5,NA,0.2
5250,2020-01-07,Vermont,1.6,0.4,12.3,1,0.1
5275,2020-01-08,Vermont,3.2,0.3,13.8,NA,0.2
5300,2020-01-09,Vermont,2.3,0.2,9.4,NA,0
5325,2020-01-10,Vermont,3,0.3,10.4,4,0.2
5350,2020-01-11,Vermont,4,0.4,12,NA,0.1
5375,2020-01-12,Vermont,1.8,0.4,5.5,NA,0.2
5400,2020-01-13,Vermont,3,0.4,10.8,3,0
5425,2020-01-14,Vermont,6.7,0.4,19.2,NA,0.1
5450,2020-01-15,Vermont,6.6,0.5,19.6,NA,0.1
5475,2020-01-16,Vermont,4.9,0.4,11.1,3,0.5
5500,2020-01-17,Vermont,3.7,0.3,14.8,NA,0.4
5525,2020-01-18,Vermont,4.1,0.3,14.4,NA,0.1
5550,2020-01-19,Vermont,4.9,0.4,10.6,3,1.1
5575,2020-01-20,Vermont,2.3,0.4,14.1,NA,0.5
5600,2020-01-21,Vermont,2,0.4,26.1,NA,0.1
5625,2020-01-22,Vermont,2.7,0.3,12.2,3,0
5650,2020-01-23,Vermont,3.7,0.5,29.3,NA,0.1
5675,2020-01-24,Vermont,3.7,0.7,37.7,NA,0.1
5700,2020-01-25,Vermont,4.2,0.7,22.5,4,0.1
5725,2020-01-26,Vermont,1.7,0.4,12.3,NA,0.1
5750,2020-01-27,Vermont,2.8,0.4,14.5,NA,0.2
5775,2020-01-28,Vermont,1.3,0.4,7,1,0.2
5800,2020-01-29,Vermont,4.1,0.3,16,NA,0.8
5825,2020-01-30,Vermont,3.5,0.4,22.9,NA,0.4
5850,2020-01-31,Vermont,3,0.4,25,6,0.1
5875,2020-02-01,Vermont,12.6,0.5,19.4,NA,0.2
5900,2020-02-02,Vermont,13.3,0.5,17.4,NA,0.3
5925,2020-02-03,Vermont,4.6,0.4,15.8,5,0.2
5950,2020-02-04,Vermont,3.9,0.5,31.4,NA,0.2
5975,2020-02-05,Vermont,3.5,0.4,14.8,NA,0.3
6000,2020-02-06,Vermont,2.7,0.3,25,2,0.2
6025,2020-02-07,Vermont,3.6,0.3,8.6,NA,0.5
6050,2020-02-08,Vermont,2.4,0.3,16.3,NA,0.1
6075,2020-02-09,Vermont,3.5,0.4,18.7,2,0
6100,2020-02-10,Vermont,4.9,0.4,23.8,NA,0.1
6125,2020-02-11,Vermont,3.2,0.5,24.8,NA,0.1
6150,2020-02-12,Vermont,2.6,0.4,8.6,3,0.2
6175,2020-02-13,Vermont,3.6,0.4,18.7,NA,0.2
6200,2020-02-14,Vermont,3.5,0.3,16,NA,0.4
6225,2020-02-15,Vermont,1.9,0.3,8.5,2,0
6250,2020-02-16,Vermont,6.8,0.4,10.6,NA,0.2
6275,2020-02-17,Vermont,4.4,0.4,18.3,NA,0.7
6300,2020-02-18,Vermont,1.7,0.3,10.6,3,0.1
6325,2020-02-19,Vermont,2.1,0.3,5.5,NA,0.1
6350,2020-02-20,Vermont,3.6,0.3,14.3,NA,NA
6375,2020-02-21,Vermont,2.1,0.3,15.2,3,0.4
6400,2020-02-22,Vermont,7.7,0.4,16.7,NA,0.2
6425,2020-02-23,Vermont,10.4,0.4,25.9,NA,0.4
6450,2020-02-24,Vermont,5.9,0.6,34.3,9,0.5
6475,2020-02-25,Vermont,16.6,0.6,25.4,NA,0.4
6500,2020-02-26,Vermont,11.8,0.5,14,NA,0.3
6525,2020-02-27,Vermont,1.7,0.4,33.8,2,0.3
6550,2020-02-28,Vermont,2,0.3,7.6,NA,0.2
6575,2020-02-29,Vermont,4.1,0.3,5.7,NA,0.3
6600,2020-03-01,Vermont,2.6,0.4,20.9,3,0.2
6625,2020-03-02,Vermont,4.8,0.4,26.5,NA,0.4
6650,2020-03-03,Vermont,7,0.5,30.3,NA,0.2
6675,2020-03-04,Vermont,1.9,0.5,11.6,2,0.2
6700,2020-03-05,Vermont,3.9,0.3,14.1,NA,0.2
6725,2020-03-06,Vermont,4.4,0.3,12.1,NA,0.1
6750,2020-03-07,Vermont,1.9,0.3,24.1,3,0.5
6775,2020-03-08,Vermont,4.3,0.4,18.4,NA,0.3
6800,2020-03-09,Vermont,5.3,0.4,22.7,NA,0.4
6824,2020-03-10,Vermont,5.1,0.4,30.7,6,0.4
6848,2020-03-11,Vermont,4.1,0.3,11.4,NA,0.3
6872,2020-03-12,Vermont,4.7,0.3,9,NA,0.1
6896,2020-03-13,Vermont,1.8,0.3,8.5,2,0.2
6920,2020-03-14,Vermont,2.5,0.3,4.9,NA,0.1
6944,2020-03-15,Vermont,3.9,0.3,7.5,NA,0.3
6968,2020-03-16,Vermont,2.1,0.3,16.5,4,0.2
6992,2020-03-17,Vermont,3.9,0.3,6.8,NA,0.1
7016,2020-03-18,Vermont,3.4,0.3,11.7,NA,0.2
7040,2020-03-19,Vermont,1.8,0.3,11,2,0.1
7064,2020-03-20,Vermont,1.8,0.4,4.6,NA,0.2
7088,2020-03-21,Vermont,4.2,0.3,3.1,NA,0.7
7112,2020-03-22,Vermont,2.9,0.3,11.8,3,0
7136,2020-03-23,Vermont,4.2,0.3,10.2,NA,0.1
7160,2020-03-24,Vermont,5.7,0.3,14.5,NA,0.2
7184,2020-03-25,Vermont,4,0.4,31.9,4,NA
7208,2020-03-26,Vermont,NA,0.3,9.1,NA,NA
7232,2020-03-27,Vermont,2.4,0.3,13.5,NA,0.1
7256,2020-03-28,Vermont,3.7,0.3,12.8,NA,0.3
7280,2020-03-29,Vermont,2.6,0.3,5.7,NA,0.1
7304,2020-03-30,Vermont,0.6,0.3,5.1,NA,0.1
7328,2020-03-31,Vermont,3,0.3,7.1,NA,0.2
7352,2020-04-01,Vermont,3.5,0.3,NA,NA,NA
7376,2020-04-02,Vermont,3.2,NA,NA,NA,NA
7400,2020-04-03,Vermont,1.6,NA,NA,NA,NA
7423,2020-04-04,Vermont,3.1,NA,NA,NA,NA
7446,2020-04-05,Vermont,3.1,NA,NA,NA,NA
7469,2020-04-06,Vermont,3,NA,NA,NA,NA
7493,2020-04-07,Vermont,3.2,NA,NA,NA,NA
7561,2020-04-10,Vermont,2.1,NA,NA,NA,NA
7585,2020-04-11,Vermont,2.6,NA,NA,NA,NA
7632,2020-04-13,Vermont,0.7,NA,NA,NA,NA
7702,2020-04-16,Vermont,2.9,NA,NA,NA,NA
7726,2020-04-17,Vermont,4.3,NA,NA,NA,NA
7750,2020-04-18,Vermont,5.6,NA,NA,NA,NA
7774,2020-04-19,Vermont,8,NA,NA,NA,NA
7798,2020-04-20,Vermont,4.1,NA,NA,NA,NA
7822,2020-04-21,Vermont,3.5,NA,NA,NA,NA
7846,2020-04-22,Vermont,3.4,NA,NA,NA,NA
7870,2020-04-23,Vermont,3.9,NA,NA,NA,NA
7894,2020-04-24,Vermont,4.5,NA,NA,NA,NA
7918,2020-04-25,Vermont,5.2,NA,NA,NA,NA
7942,2020-04-26,Vermont,4.9,NA,NA,NA,NA
7966,2020-04-27,Vermont,3.6,NA,NA,NA,NA
7990,2020-04-28,Vermont,3.7,NA,NA,NA,NA
8014,2020-04-29,Vermont,3.3,NA,NA,NA,NA
8038,2020-04-30,Vermont,3.2,NA,NA,NA,NA
8062,2020-05-01,Vermont,1.3,NA,NA,NA,NA
8086,2020-05-02,Vermont,3.6,NA,NA,NA,NA
8110,2020-05-03,Vermont,4.4,NA,NA,NA,NA
8134,2020-05-04,Vermont,3.2,NA,NA,NA,NA
8158,2020-05-05,Vermont,4,NA,NA,NA,NA
8182,2020-05-06,Vermont,3.1,NA,NA,NA,NA
8206,2020-05-07,Vermont,3.7,NA,NA,NA,NA
8228,2020-05-08,Vermont,3.2,NA,NA,NA,NA
8252,2020-05-09,Vermont,2.2,NA,NA,NA,NA
8276,2020-05-10,Vermont,2.2,NA,NA,NA,NA
8300,2020-05-11,Vermont,2.9,NA,NA,NA,NA
8324,2020-05-12,Vermont,3.4,NA,NA,NA,NA
8348,2020-05-13,Vermont,3.6,NA,NA,NA,NA
8372,2020-05-14,Vermont,4,NA,NA,NA,NA
8396,2020-05-15,Vermont,4.9,NA,NA,NA,NA
8420,2020-05-16,Vermont,6.9,NA,NA,NA,NA
8444,2020-05-17,Vermont,4.4,NA,NA,NA,NA
8468,2020-05-18,Vermont,4.2,NA,NA,NA,NA
8492,2020-05-19,Vermont,3.3,NA,NA,NA,NA
8516,2020-05-20,Vermont,4.1,NA,NA,NA,NA
8539,2020-05-21,Vermont,3.6,NA,NA,NA,NA
8563,2020-05-22,Vermont,4.9,NA,NA,NA,NA
8587,2020-05-23,Vermont,5.2,NA,NA,NA,NA
8611,2020-05-24,Vermont,4.2,NA,NA,NA,NA
8635,2020-05-25,Vermont,4.1,NA,NA,NA,NA
8659,2020-05-26,Vermont,5.4,NA,NA,NA,NA
8683,2020-05-27,Vermont,7.1,NA,NA,NA,NA
8707,2020-05-28,Vermont,3.8,NA,NA,NA,NA
8731,2020-05-29,Vermont,3.3,NA,NA,NA,NA
8822,2020-06-02,Vermont,3.4,NA,NA,NA,NA
8844,2020-06-03,Vermont,5.8,NA,NA,NA,NA
8867,2020-06-04,Vermont,6.1,NA,NA,NA,NA
8890,2020-06-05,Vermont,7,NA,NA,NA,NA
8913,2020-06-06,Vermont,5.8,NA,NA,NA,NA
8936,2020-06-07,Vermont,3.3,NA,NA,NA,NA
8959,2020-06-08,Vermont,3,NA,NA,NA,NA
8982,2020-06-09,Vermont,3.7,NA,NA,NA,NA
9004,2020-06-10,Vermont,5.4,NA,NA,NA,NA
9026,2020-06-11,Vermont,4.2,NA,NA,NA,NA
9049,2020-06-12,Vermont,2.8,NA,NA,NA,NA
9072,2020-06-13,Vermont,1.9,NA,NA,NA,NA
9095,2020-06-14,Vermont,2.3,NA,NA,NA,NA
9118,2020-06-15,Vermont,2.5,NA,NA,NA,NA
9141,2020-06-16,Vermont,3.8,NA,NA,NA,NA
9164,2020-06-17,Vermont,5.1,NA,NA,NA,NA
9187,2020-06-18,Vermont,6,NA,NA,NA,NA
9210,2020-06-19,Vermont,4.2,NA,NA,NA,NA
9233,2020-06-20,Vermont,5.1,NA,NA,NA,NA
9255,2020-06-21,Vermont,6,NA,NA,NA,NA
9277,2020-06-22,Vermont,5.7,NA,NA,NA,NA
9299,2020-06-23,Vermont,6.3,NA,NA,NA,NA
9321,2020-06-24,Vermont,4.9,NA,NA,NA,NA
9344,2020-06-25,Vermont,3.9,NA,NA,NA,NA
9365,2020-06-26,Vermont,4.8,NA,NA,NA,NA
9387,2020-06-27,Vermont,5.9,NA,NA,NA,NA
9453,2020-06-30,Vermont,2.6,NA,NA,NA,NA
9476,2020-07-01,Vermont,4.7,NA,NA,NA,NA
9499,2020-07-02,Vermont,8.7,NA,NA,NA,NA
9522,2020-07-03,Vermont,10,NA,NA,NA,NA
9545,2020-07-04,Vermont,6.6,NA,NA,NA,NA
9568,2020-07-05,Vermont,5.5,NA,NA,NA,NA
9589,2020-07-06,Vermont,5.4,NA,NA,NA,NA
5099,2020-01-01,Virginia,4.8,0.5,12.6,3,0.3
5124,2020-01-02,Virginia,8.3,0.8,19.4,NA,1.1
5149,2020-01-03,Virginia,NA,0.4,11.5,NA,1.9
5174,2020-01-04,Virginia,6.3,0.4,9.6,1,0.3
5199,2020-01-05,Virginia,4.5,0.4,14.6,NA,1.1
5224,2020-01-06,Virginia,5.5,0.5,16.2,NA,3.1
5249,2020-01-07,Virginia,7,0.8,18.3,8,1.6
5274,2020-01-08,Virginia,5.5,0.3,11.5,NA,0.9
5299,2020-01-09,Virginia,6.8,0.2,12.2,NA,2
5324,2020-01-10,Virginia,11.8,0.3,13.9,8,4.3
5349,2020-01-11,Virginia,2.6,0.3,3.9,NA,1.6
5374,2020-01-12,Virginia,3.2,0.2,4.3,NA,0.5
5399,2020-01-13,Virginia,10.4,0.7,12.7,11,15.1
5424,2020-01-14,Virginia,9.9,0.8,14.1,NA,5.5
5449,2020-01-15,Virginia,6.8,0.4,10.1,NA,1.6
5474,2020-01-16,Virginia,3.9,0.3,8.2,5,5
5499,2020-01-17,Virginia,5.5,0.2,14.7,NA,16.4
5524,2020-01-18,Virginia,3.4,0.3,16.5,NA,1.1
5549,2020-01-19,Virginia,5.1,0.3,3.7,4,8
5574,2020-01-20,Virginia,6.2,0.3,3.7,NA,3.8
5599,2020-01-21,Virginia,4.5,0.3,5.3,NA,0.6
5624,2020-01-22,Virginia,15.4,0.5,21.8,8,0.6
5649,2020-01-23,Virginia,24.6,1,21.8,NA,0.5
5674,2020-01-24,Virginia,15.1,0.5,29.3,NA,0.4
5699,2020-01-25,Virginia,2,0.3,9.7,3,0.2
5724,2020-01-26,Virginia,1.4,0.3,7.7,NA,0.2
5749,2020-01-27,Virginia,5.3,0.3,18.6,NA,0.5
5774,2020-01-28,Virginia,4.2,0.2,3.9,5,0.3
5799,2020-01-29,Virginia,4.9,0.3,13.3,NA,0.5
5824,2020-01-30,Virginia,12.1,0.3,19.4,NA,0.4
5849,2020-01-31,Virginia,12.4,0.4,15.2,9,0.3
5874,2020-02-01,Virginia,13.9,0.7,10.8,NA,1.1
5899,2020-02-02,Virginia,2.1,0.4,11,NA,0.4
5924,2020-02-03,Virginia,3.8,0.5,19.5,7,0.5
5949,2020-02-04,Virginia,3.7,0.6,18.6,NA,0.4
5974,2020-02-05,Virginia,1,0.3,6.9,NA,0.3
5999,2020-02-06,Virginia,4.9,0.4,14.7,4,2.1
6024,2020-02-07,Virginia,3.8,0.4,8.7,NA,0.5
6049,2020-02-08,Virginia,6,0.3,13.3,NA,0.3
6074,2020-02-09,Virginia,6.7,0.5,11.1,5,0.2
6099,2020-02-10,Virginia,5.8,0.3,5.8,NA,1.1
6124,2020-02-11,Virginia,9,0.4,5.7,NA,1.4
6149,2020-02-12,Virginia,10.1,0.3,7.1,6,8.7
6174,2020-02-13,Virginia,3.4,0.3,6.3,NA,3.2
6199,2020-02-14,Virginia,4.7,0.2,6.9,NA,18.4
6224,2020-02-15,Virginia,6.7,0.3,11.3,4,6.6
6249,2020-02-16,Virginia,9.2,0.4,15.1,NA,8.2
6274,2020-02-17,Virginia,11.9,0.6,16.1,NA,21.7
6299,2020-02-18,Virginia,9.3,0.5,12.9,15,17.3
6324,2020-02-19,Virginia,4.8,0.2,4.6,NA,9.2
6349,2020-02-20,Virginia,5.1,0.2,11.6,NA,15.5
6374,2020-02-21,Virginia,4.2,0.4,16.6,6,11.7
6399,2020-02-22,Virginia,7,0.4,21.3,NA,1.2
6424,2020-02-23,Virginia,9.5,0.7,14.2,NA,6.6
6449,2020-02-24,Virginia,9.4,0.9,20,13,0.5
6474,2020-02-25,Virginia,7.6,0.4,6.9,NA,1.5
6499,2020-02-26,Virginia,4.8,0.4,11.6,NA,0.5
6524,2020-02-27,Virginia,2.3,0.3,3.5,3,1.1
6549,2020-02-28,Virginia,5.4,0.2,6,NA,0.5
6574,2020-02-29,Virginia,4.5,0.2,3,NA,2.1
6599,2020-03-01,Virginia,6,0.3,13.2,26,0.4
6624,2020-03-02,Virginia,8.1,0.3,17.7,NA,1
6649,2020-03-03,Virginia,7,0.4,14.4,NA,0.6
6674,2020-03-04,Virginia,2.2,0.2,10.5,6,0.4
6699,2020-03-05,Virginia,5.3,0.2,14.6,NA,12.5
6724,2020-03-06,Virginia,6.5,0.4,14.9,NA,3.3
6749,2020-03-07,Virginia,2.5,0.2,2.8,4,17.7
6774,2020-03-08,Virginia,4.5,0.3,12.4,NA,2.2
6799,2020-03-09,Virginia,7.2,0.3,28.1,NA,9.5
6823,2020-03-10,Virginia,5.9,0.2,7.1,10,0.3
6847,2020-03-11,Virginia,NA,0.2,10.1,NA,0.4
6871,2020-03-12,Virginia,NA,0.4,12.6,NA,4.5
6895,2020-03-13,Virginia,3.5,0.4,6.4,10,2.1
6919,2020-03-14,Virginia,4.4,0.3,3.4,NA,13.9
6943,2020-03-15,Virginia,4.7,0.5,6.3,NA,1.3
6967,2020-03-16,Virginia,5.9,0.6,9.5,6,0.8
6991,2020-03-17,Virginia,5.5,0.2,5.5,NA,1.4
7015,2020-03-18,Virginia,6.7,0.2,12.9,NA,0.7
7039,2020-03-19,Virginia,8.3,0.4,8.5,NA,2
7063,2020-03-20,Virginia,7.5,0.4,6.1,NA,0.2
7087,2020-03-21,Virginia,4.9,0.2,2.5,NA,6.1
7111,2020-03-22,Virginia,5.8,0.2,2.4,NA,1
7135,2020-03-23,Virginia,3.6,0.3,3.9,NA,3.5
7159,2020-03-24,Virginia,5.9,0.3,8.2,NA,6
7183,2020-03-25,Virginia,4.9,0.3,5.4,2,4.7
7207,2020-03-26,Virginia,3.8,0.3,7.8,NA,0.8
7231,2020-03-27,Virginia,7.3,0.3,6.3,NA,3.4
7255,2020-03-28,Virginia,6.6,0.3,3.9,14,1.9
7279,2020-03-29,Virginia,4.8,0.4,4.1,NA,0.7
7303,2020-03-30,Virginia,2.8,0.4,11.9,NA,6.7
7327,2020-03-31,Virginia,2.4,0.3,5.1,5,4.8
7351,2020-04-01,Virginia,3.4,0.2,NA,NA,NA
7375,2020-04-02,Virginia,4.1,NA,NA,NA,NA
7399,2020-04-03,Virginia,4.1,NA,NA,6,NA
7422,2020-04-04,Virginia,6.5,NA,NA,NA,NA
7445,2020-04-05,Virginia,8.7,NA,NA,NA,NA
7468,2020-04-06,Virginia,6.9,NA,NA,NA,NA
7492,2020-04-07,Virginia,7.7,NA,NA,NA,NA
7515,2020-04-08,Virginia,3.1,NA,NA,NA,NA
7537,2020-04-09,Virginia,3.9,NA,NA,8,NA
7560,2020-04-10,Virginia,3.8,NA,NA,NA,NA
7584,2020-04-11,Virginia,6,NA,NA,NA,NA
7608,2020-04-12,Virginia,8.5,NA,NA,NA,NA
7631,2020-04-13,Virginia,3.3,NA,NA,NA,NA
7655,2020-04-14,Virginia,3.8,NA,NA,NA,NA
7678,2020-04-15,Virginia,5.3,NA,NA,6,NA
7701,2020-04-16,Virginia,6.2,NA,NA,NA,NA
7725,2020-04-17,Virginia,9.1,NA,NA,NA,NA
7749,2020-04-18,Virginia,6.8,NA,NA,NA,NA
7773,2020-04-19,Virginia,6.3,NA,NA,NA,NA
7797,2020-04-20,Virginia,8.2,NA,NA,NA,NA
7821,2020-04-21,Virginia,6.8,NA,NA,9,NA
7845,2020-04-22,Virginia,6.5,NA,NA,NA,NA
7869,2020-04-23,Virginia,6.7,NA,NA,NA,NA
7893,2020-04-24,Virginia,4.1,NA,NA,NA,NA
7917,2020-04-25,Virginia,4.3,NA,NA,NA,NA
7941,2020-04-26,Virginia,2.6,NA,NA,NA,NA
7965,2020-04-27,Virginia,4.7,NA,NA,5,NA
7989,2020-04-28,Virginia,5.8,NA,NA,NA,NA
8013,2020-04-29,Virginia,7.2,NA,NA,NA,NA
8037,2020-04-30,Virginia,2.2,NA,NA,NA,NA
8061,2020-05-01,Virginia,3.2,NA,NA,NA,NA
8085,2020-05-02,Virginia,4.5,NA,NA,NA,NA
8109,2020-05-03,Virginia,7,NA,NA,10,NA
8133,2020-05-04,Virginia,2.9,NA,NA,NA,NA
8157,2020-05-05,Virginia,3.2,NA,NA,NA,NA
8181,2020-05-06,Virginia,2.9,NA,NA,NA,NA
8205,2020-05-07,Virginia,4.4,NA,NA,NA,NA
8227,2020-05-08,Virginia,6.3,NA,NA,NA,NA
8251,2020-05-09,Virginia,3.8,NA,NA,4,NA
8275,2020-05-10,Virginia,4.3,NA,NA,NA,NA
8299,2020-05-11,Virginia,3.5,NA,NA,NA,NA
8323,2020-05-12,Virginia,4.5,NA,NA,NA,NA
8347,2020-05-13,Virginia,6.9,NA,NA,NA,NA
8371,2020-05-14,Virginia,9.6,NA,NA,NA,NA
8395,2020-05-15,Virginia,7.7,NA,NA,NA,NA
8419,2020-05-16,Virginia,5.7,NA,NA,NA,NA
8443,2020-05-17,Virginia,6.8,NA,NA,NA,NA
8467,2020-05-18,Virginia,5.2,NA,NA,NA,NA
8491,2020-05-19,Virginia,4.9,NA,NA,NA,NA
8515,2020-05-20,Virginia,5.6,NA,NA,NA,NA
8538,2020-05-21,Virginia,7.1,NA,NA,NA,NA
8562,2020-05-22,Virginia,4,NA,NA,NA,NA
8586,2020-05-23,Virginia,5.3,NA,NA,NA,NA
8610,2020-05-24,Virginia,7.1,NA,NA,NA,NA
8634,2020-05-25,Virginia,5.2,NA,NA,NA,NA
8658,2020-05-26,Virginia,6.3,NA,NA,NA,NA
8682,2020-05-27,Virginia,3.8,NA,NA,NA,NA
8706,2020-05-28,Virginia,3,NA,NA,NA,NA
8730,2020-05-29,Virginia,4.6,NA,NA,NA,NA
8753,2020-05-30,Virginia,3.8,NA,NA,NA,NA
8776,2020-05-31,Virginia,3.1,NA,NA,NA,NA
8799,2020-06-01,Virginia,4.2,NA,NA,NA,NA
8821,2020-06-02,Virginia,5.7,NA,NA,NA,NA
8866,2020-06-04,Virginia,9.6,NA,NA,NA,NA
8889,2020-06-05,Virginia,5.6,NA,NA,NA,NA
8912,2020-06-06,Virginia,7.4,NA,NA,NA,NA
8935,2020-06-07,Virginia,5.6,NA,NA,NA,NA
8958,2020-06-08,Virginia,6.9,NA,NA,NA,NA
8981,2020-06-09,Virginia,12.6,NA,NA,NA,NA
9003,2020-06-10,Virginia,10.1,NA,NA,NA,NA
9025,2020-06-11,Virginia,5,NA,NA,NA,NA
9048,2020-06-12,Virginia,5.1,NA,NA,NA,NA
9071,2020-06-13,Virginia,6.1,NA,NA,NA,NA
9094,2020-06-14,Virginia,7.1,NA,NA,NA,NA
9117,2020-06-15,Virginia,7.1,NA,NA,NA,NA
9140,2020-06-16,Virginia,6.6,NA,NA,NA,NA
9163,2020-06-17,Virginia,6.5,NA,NA,NA,NA
9186,2020-06-18,Virginia,4.1,NA,NA,NA,NA
9209,2020-06-19,Virginia,6.5,NA,NA,NA,NA
9232,2020-06-20,Virginia,8.4,NA,NA,NA,NA
9254,2020-06-21,Virginia,7.9,NA,NA,NA,NA
9276,2020-06-22,Virginia,8.7,NA,NA,NA,NA
9298,2020-06-23,Virginia,5.8,NA,NA,NA,NA
9320,2020-06-24,Virginia,5.5,NA,NA,NA,NA
9343,2020-06-25,Virginia,8,NA,NA,NA,NA
9364,2020-06-26,Virginia,6.8,NA,NA,NA,NA
9386,2020-06-27,Virginia,9.2,NA,NA,NA,NA
9408,2020-06-28,Virginia,10,NA,NA,NA,NA
9430,2020-06-29,Virginia,8,NA,NA,NA,NA
9452,2020-06-30,Virginia,7.3,NA,NA,NA,NA
9475,2020-07-01,Virginia,5.7,NA,NA,NA,NA
9498,2020-07-02,Virginia,7.1,NA,NA,NA,NA
9521,2020-07-03,Virginia,11.7,NA,NA,NA,NA
9544,2020-07-04,Virginia,11.9,NA,NA,NA,NA
9567,2020-07-05,Virginia,21.2,NA,NA,NA,NA
5101,2020-01-01,Washington,2.2,0.1,8.5,10,0.6
5126,2020-01-02,Washington,4.5,0.2,25.4,9,0.9
5151,2020-01-03,Washington,4.6,0.4,37.3,8,0.9
5176,2020-01-04,Washington,3.1,0.2,15.4,7,1
5201,2020-01-05,Washington,2.7,0.2,13.9,4,0.9
5226,2020-01-06,Washington,1,0.2,19.9,8,1
5251,2020-01-07,Washington,0.9,0.2,24.3,3,0.5
5276,2020-01-08,Washington,3.7,0.2,28.8,6,0.6
5301,2020-01-09,Washington,15.8,0.3,33.5,7,0.3
5326,2020-01-10,Washington,3.5,0.3,33.7,2,1.2
5351,2020-01-11,Washington,3.5,0.2,10.6,11,0.8
5376,2020-01-12,Washington,2.8,0.2,8.2,2,0.6
5401,2020-01-13,Washington,5.3,0.2,29.4,11,0.6
5426,2020-01-14,Washington,4.4,0.2,19.8,8,0.7
5451,2020-01-15,Washington,2,0.2,26.6,9,0.9
