"zip","city","state","latitude","longitude","Total_Payments"
"29485","Summerville","SC",32.983408,-80.17627,972735.41
"29488","Walterboro","SC",32.89989,-80.67195,435481.1
"29492","Charleston","SC",32.91583,-79.8846,402651.23
"29501","Florence","SC",34.195705,-79.80977,918508.96
"29503","Florence","SC",34.062999,-79.650627,18000
"29505","Florence","SC",34.142119,-79.74311,855964.04
"29506","Florence","SC",34.201299,-79.71722,2296026.25
"29510","Andrews","SC",33.45053,-79.59233,18000
"29512","Bennettsville","SC",34.657694,-79.69151,176500
"29520","Cheraw","SC",34.68862,-79.92315,175447
"29526","Conway","SC",33.850218,-79.01692,1411046.66
"29527","Conway","SC",33.801049,-79.1148,14700
"29532","Darlington","SC",34.291269,-79.8761,49467.32
"29536","Dillon","SC",34.413907,-79.36512,148800
"29550","Hartsville","SC",34.386728,-80.08256,1004286.2
"29556","Kingstree","SC",33.671678,-79.78693,175020
"29560","Lake City","SC",33.859815,-79.7542,82948.67
"29566","Little River","SC",33.873017,-78.64282,688030.09
"29569","Loris","SC",34.046247,-78.9008,207760
"29572","Myrtle Beach","SC",33.765136,-78.79097,2042809.77
"29574","Mullins","SC",34.194685,-79.25775,122289.67
"29575","Myrtle Beach","SC",33.627763,-78.98126,368160.77
"29576","Murrells Inlet","SC",33.568115,-79.03226,1421455.85
"29577","Myrtle Beach","SC",33.698101,-78.89604,1325032.42
"29579","Myrtle Beach","SC",33.729439,-78.97824,803014.77
"29582","North Myrtle Beach","SC",33.823495,-78.67824,198060
"29585","Pawleys Island","SC",33.467343,-79.1301,920192.84
"29588","Myrtle Beach","SC",33.694757,-78.999862,705298.3
"29601","Greenville","SC",34.848301,-82.40578,1071245.39
"29605","Greenville","SC",34.798035,-82.39289,1666087.2
"29606","Greenville","SC",34.849745,-82.453779,81412.46
"29607","Greenville","SC",34.825592,-82.34099,2112200.52
"29609","Greenville","SC",34.889217,-82.39364,102980.22
"29611","Greenville","SC",34.840717,-82.44234,78887.7
"29615","Greenville","SC",34.866801,-82.31739,13786784.56
"29616","Greenville","SC",34.849745,-82.453779,415801.6
"29620","Abbeville","SC",34.189812,-82.41245,264434.34
"29621","Anderson","SC",34.523657,-82.62509,3985799.36
"29624","Anderson","SC",34.478139,-82.6455,52920
"29625","Anderson","SC",34.532638,-82.71615,68495.41
"29626","Anderson","SC",34.464572,-82.74032,130440
"29627","Belton","SC",34.517231,-82.49053,38220
"29631","Clemson","SC",34.681255,-82.82176,344941.49
"29640","Easley","SC",34.849655,-82.59365,1025209.9
"29642","Easley","SC",34.789884,-82.56459,259561.18
"29643","Fair Play","SC",34.505005,-82.99703,66791.33
"29646","Greenwood","SC",34.169781,-82.15474,3216258.17
"29649","Greenwood","SC",34.225872,-82.15614,377636.36
"29650","Greer","SC",34.911469,-82.25178,593809.18
"29651","Greer","SC",34.937356,-82.22117,246000
"29653","Hodges","SC",34.286915,-82.23672,86960
"29654","Honea Path","SC",34.45451,-82.38755,104960
"29655","Iva","SC",34.299215,-82.63812,86960
"29657","Liberty","SC",34.779483,-82.68861,87560
"29662","Mauldin","SC",34.774657,-82.30432,194714.7
"29666","Ninety Six","SC",34.14606,-82.00203,67000
"29669","Pelzer","SC",34.646501,-82.44077,43480
"29670","Pendleton","SC",34.641851,-82.76668,116960
"29671","Pickens","SC",34.912476,-82.71136,178440
"29672","Seneca","SC",34.736907,-82.94599,497026.4
"29673","Piedmont","SC",34.723173,-82.4565,321532.13
"29678","Seneca","SC",34.660345,-82.94557,914063.14
"29680","Simpsonville","SC",34.709869,-82.28385,52920
"29681","Simpsonville","SC",34.762693,-82.24512,725614.48
"29687","Taylors","SC",34.935636,-82.32238,151342.66
"29690","Travelers Rest","SC",35.018511,-82.43224,124920
"29691","Walhalla","SC",34.769994,-83.06882,87440
"29692","Ware Shoals","SC",34.404535,-82.23851,29760
"29693","Westminster","SC",34.633763,-83.11495,31720
"29696","West Union","SC",34.77272,-83.02066,18000
"29697","Williamston","SC",34.622494,-82.50551,107850.97
"29706","Chester","SC",34.720597,-81.21429,85620
"29707","Fort Mill","SC",34.99,-80.86,397460
"29708","Fort Mill","SC",35.040969,-80.99427,404637.51
"29710","Clover","SC",35.109114,-81.19429,98106.49
"29715","Fort Mill","SC",35.008416,-80.91644,298639.44
"29720","Lancaster","SC",34.729073,-80.76005,830066.14
"29728","Pageland","SC",34.769259,-80.39935,2791.61
"29729","Richburg","SC",34.692002,-81.00536,35640
"29730","Rock Hill","SC",34.914611,-81.0125,52422.35
"29732","Rock Hill","SC",34.969427,-81.0509,4022941.5
"29745","York","SC",35.005981,-81.21176,149680
"29801","Aiken","SC",33.569885,-81.71368,1281134.75
"29802","Aiken","SC",33.723519,-81.59072,1960
"29803","Aiken","SC",33.486049,-81.70946,534826.84
"29805","Aiken","SC",33.650812,-81.61561,26460
"29812","Barnwell","SC",33.226172,-81.36031,52249.65
"29824","Edgefield","SC",33.819096,-81.95036,34300
"29832","Johnston","SC",33.824496,-81.79179,12000
"29835","McCormick","SC",33.91509,-82.30548,15487.38
"29841","North Augusta","SC",33.517435,-81.94945,389716.77
"29902","Beaufort","SC",32.421594,-80.67505,725185.6
"29906","Beaufort","SC",32.445712,-80.74845,768512.18
"29907","Beaufort","SC",32.447677,-80.642097,219600
"29909","Hilton Head Island","SC",32.312621,-80.915532,376760
