Country,Abb,X,Y,Time,Airline,Info,Source
Finland,FIN,23.308447,61.915867,29.05.2020,Finnair,Finnair July/August 2020 Long-Haul operations as of 28MAY20,https://www.routesonline.com/news/38/airlineroute/291511/finnair-julyaugust-2020-long-haul-operations-as-of-28may20/
Finland,FIN,23.308447,61.915867,04.06.2020,Finnair,Finnair July/August 2020 European operations as of 31MAY20,https://www.routesonline.com/news/38/airlineroute/291636/finnair-julyaugust-2020-european-operations-as-of-31may20/
France,FRA,2.45652,46.627084,28.04.2020,ASL Airlines France,ASL Airlines France expands Algeria network in summer 2020,https://www.routesonline.com/news/38/airlineroute/290996/asl-airlines-france-expands-algeria-network-in-s20/
France,FRA,2.45652,46.627084,11.06.2020,ASL Airlines France,ASL Airlines France adds Paris ?€? Pau service in June 2020,https://www.routesonline.com/news/38/airlineroute/291769/asl-airlines-france-adds-paris-pau-service-in-june-2020/
France,FRA,2.45652,46.627084,18.03.2020,Air Corsica,Air Corsica reduces its schedule,https://worldairlinenews.com/2020/03/18/air-corsica-reduces-its-schedule/
France,FRA,2.45652,46.627084,16.07.2020,Air France,Air France-KLM adds China flights after France intervenes,https://financialpost.com/pmn/business-pmn/air-france-klm-adds-china-flights-after-france-intervenes
France,FRA,2.45652,46.627084,14.07.2020,Air France,Air France July - October 2020 Intercontinetnal network as of 12JUL20,https://www.routesonline.com/news/38/airlineroute/292436/air-france-july-october-2020-intercontinetnal-network-as-of-12jul20/
France,FRA,2.45652,46.627084,29.06.2020,Air France,Air France KLM resume flights to and from UAE from July 1,https://gulfnews.com/uae/transport/air-france-klm-resume-flights-to-and-from-uae-from-july-1-1.72309803
France,FRA,2.45652,46.627084,14.07.2020,Air France,Air France continues Tahiti service via Vancouver in August 2020,https://www.routesonline.com/news/38/airlineroute/292437/air-france-continues-tahiti-service-via-vancouver-in-august-2020/
France,FRA,2.45652,46.627084,06.07.2020,French Bee,Air France / French Bee resumes Tahiti service via Vancouver in July 2020,https://www.routesonline.com/news/38/airlineroute/292271/air-france-french-bee-resumes-tahiti-service-via-vancouver-in-july-2020/
France,FRA,2.45652,46.627084,16.07.2020,French Bee,French Bee extends Tahiti service via Vancouver into August 2020,https://www.routesonline.com/news/38/airlineroute/292486/french-bee-extends-tahiti-service-via-vancouver-into-august-2020/
France,FRA,2.45652,46.627084,09.07.2020,Level,Reports Suggest IAG Will Close LEVEL France,https://simpleflying.com/level-france-closure/
France,FRA,2.45652,46.627084,30.06.2020,Corsair,Corsair June/July 2020 service resumptions as of 29JUN20,https://www.routesonline.com/news/38/airlineroute/292142/corsair-junejuly-2020-service-resumptions-as-of-29jun20/
France,FRA,2.45652,46.627084,30.06.2020,Corsair,"Corsair plans to resume flights between Abidjan, Paris from 6 July",Media
