state,Date,Travelers
AK,2020/4/13,NA
AK,2020/4/14,NA
AK,2020/4/15,NA
AK,2020/4/16,NA
AK,2020/4/17,NA
AK,2020/4/18,NA
AK,2020/4/19,NA
AK,2020/4/20,NA
AK,2020/4/21,NA
AK,2020/4/22,NA
AK,2020/4/23,NA
AK,2020/4/24,NA
AK,2020/4/25,NA
AK,2020/4/26,NA
AK,2020/4/27,NA
AK,2020/4/28,NA
AK,2020/4/29,NA
AK,2020/4/30,NA
AK,2020/5/1,NA
AK,2020/5/2,NA
AK,2020/5/3,NA
AK,2020/5/4,NA
AK,2020/5/5,NA
AK,2020/5/6,NA
AK,2020/5/7,NA
AK,2020/5/8,NA
AK,2020/5/9,NA
AK,2020/5/10,NA
AK,2020/5/11,NA
AK,2020/5/12,NA
AK,2020/5/13,NA
AK,2020/5/14,NA
AK,2020/5/15,NA
AK,2020/5/16,NA
AK,2020/5/17,NA
AK,2020/5/18,NA
AK,2020/5/19,NA
AK,2020/5/20,NA
AK,2020/5/21,NA
AK,2020/5/22,NA
AK,2020/5/23,NA
AK,2020/5/24,NA
AK,2020/5/25,NA
AK,2020/5/26,NA
AK,2020/5/27,NA
AK,2020/5/28,NA
AK,2020/5/29,NA
AK,2020/5/30,NA
AK,2020/5/31,NA
AK,2020/6/1,NA
AK,2020/6/2,NA
AK,2020/6/3,NA
AK,2020/6/4,NA
AK,2020/6/5,NA
AK,2020/6/6,NA
AK,2020/6/7,NA
AK,2020/6/8,NA
AK,2020/6/9,NA
AK,2020/6/10,NA
AK,2020/6/11,NA
AK,2020/6/12,NA
AK,2020/6/13,NA
AK,2020/6/14,NA
AK,2020/6/15,NA
AK,2020/6/16,NA
AK,2020/6/17,NA
AK,2020/6/18,NA
AK,2020/6/19,NA
AK,2020/6/20,NA
AK,2020/6/21,NA
AK,2020/6/22,NA
AK,2020/6/23,NA
AK,2020/6/24,NA
AK,2020/6/25,NA
AK,2020/6/26,NA
AK,2020/6/27,NA
AK,2020/6/28,NA
AK,2020/6/29,NA
AK,2020/6/30,NA
AK,2020/7/1,NA
AK,2020/7/2,NA
AK,2020/7/3,NA
AK,2020/7/4,NA
AK,2020/7/5,NA
AL,2019/1/1,7688712
AL,2019/1/2,8135318
AL,2019/1/3,8085020
AL,2019/1/4,8123974
AL,2019/1/5,8040392
AL,2019/1/6,8011624
AL,2019/1/7,8118346
AL,2019/1/8,8107636
AL,2019/1/9,8128586
AL,2019/1/10,8157958
AL,2019/1/11,8202762
AL,2019/1/12,8122838
AL,2019/1/13,8032378
AL,2019/1/14,8161512
AL,2019/1/15,8150398
AL,2019/1/16,8168750
AL,2019/1/17,8177542
AL,2019/1/18,8173740
AL,2019/1/19,8150842
AL,2019/1/20,8032094
AL,2019/1/21,8099428
AL,2019/1/22,8158382
AL,2019/1/23,8223430
AL,2019/1/24,8163364
AL,2019/1/25,8207140
AL,2019/1/26,8118578
AL,2019/1/27,7974744
AL,2019/1/28,8181898
AL,2019/1/29,8074776
AL,2019/1/30,8126488
AL,2019/1/31,8150482
AL,2019/2/1,8196344
AL,2019/2/2,8099526
AL,2019/2/3,8039794
AL,2019/2/4,8178966
AL,2019/2/5,8143528
AL,2019/2/6,8206584
AL,2019/2/7,8225924
AL,2019/2/8,8248822
AL,2019/2/9,8161162
AL,2019/2/10,8045056
AL,2019/2/11,8184564
AL,2019/2/12,8234246
AL,2019/2/13,8190030
AL,2019/2/14,8232962
AL,2019/2/15,8263486
AL,2019/2/16,8159130
AL,2019/2/17,8023176
AL,2019/2/18,8111838
AL,2019/2/19,8175618
AL,2019/2/20,8196586
AL,2019/2/21,8212760
AL,2019/2/22,8260816
AL,2019/2/23,8157256
AL,2019/2/24,8048812
AL,2019/2/25,8198672
AL,2019/2/26,8202566
AL,2019/2/27,8201942
AL,2019/2/28,8238576
AL,2019/3/1,8256820
AL,2019/3/2,8139618
AL,2019/3/3,8062512
AL,2019/3/4,8124302
AL,2019/3/5,8145812
AL,2019/3/6,8189420
AL,2019/3/7,8277980
AL,2019/3/8,8199670
AL,2019/3/9,8134198
AL,2019/3/10,8032934
AL,2019/3/11,8210416
AL,2019/3/12,8195542
AL,2019/3/13,8184870
AL,2019/3/14,8237782
AL,2019/3/15,8214516
AL,2019/3/16,8108866
AL,2019/3/17,8241354
AL,2019/3/18,8359028
AL,2019/3/19,8343442
AL,2019/3/20,8085430
AL,2019/3/21,8078254
AL,2019/3/22,8098408
AL,2019/3/23,8001312
AL,2019/3/24,7996832
AL,2019/3/25,8126028
AL,2019/3/26,8144486
AL,2019/3/27,8173476
AL,2019/3/28,8197656
AL,2019/3/29,8180198
AL,2019/3/30,8094576
AL,2019/3/31,7976086
AL,2019/4/1,8022126
AL,2019/4/2,8164156
AL,2019/4/3,8139748
AL,2019/4/4,8173360
AL,2019/4/5,8174422
AL,2019/4/6,8090686
AL,2019/4/7,7963638
AL,2019/4/8,8100416
AL,2019/4/9,8111814
AL,2019/4/10,8117028
AL,2019/4/11,8090662
AL,2019/4/12,8144144
AL,2019/4/13,7991118
AL,2019/4/14,7848706
AL,2019/4/15,8105036
AL,2019/4/16,8128562
AL,2019/4/17,8065292
AL,2019/4/18,8033140
AL,2019/4/19,8050470
AL,2019/4/20,7956214
AL,2019/4/21,7958280
AL,2019/4/22,8156534
AL,2019/4/23,8258310
AL,2019/4/24,8244362
AL,2019/4/25,8312926
AL,2019/4/26,8310272
AL,2019/4/27,8132290
AL,2019/4/28,8173264
AL,2019/4/29,8309302
AL,2019/4/30,8320340
AL,2019/5/1,8288166
AL,2019/5/2,8234656
AL,2019/5/3,8218418
AL,2019/5/4,8117430
AL,2019/5/5,8063828
AL,2019/5/6,8190610
AL,2019/5/7,8223414
AL,2019/5/8,8196988
AL,2019/5/9,8223230
AL,2019/5/10,8266564
AL,2019/5/11,8164320
AL,2019/5/12,8105442
AL,2019/5/13,8202862
AL,2019/5/14,8242420
AL,2019/5/15,8253352
AL,2019/5/16,8253646
AL,2019/5/17,8278990
AL,2019/5/18,8167062
AL,2019/5/19,8129412
AL,2019/5/20,8242346
AL,2019/5/21,8256666
AL,2019/5/22,8274174
AL,2019/5/23,8256672
AL,2019/5/24,8295388
AL,2019/5/25,8201778
AL,2019/5/26,8157968
AL,2019/5/27,8117570
AL,2019/5/28,8240584
AL,2019/5/29,8275052
AL,2019/5/30,8273018
AL,2019/5/31,8353658
AL,2019/6/1,8201468
AL,2019/6/2,8044336
AL,2019/6/3,8194094
AL,2019/6/4,8179188
AL,2019/6/5,8180514
AL,2019/6/6,8210316
AL,2019/6/7,8244556
AL,2019/6/8,8117558
AL,2019/6/9,8026760
AL,2019/6/10,8141136
AL,2019/6/11,8149258
AL,2019/6/12,8207214
AL,2019/6/13,8224276
AL,2019/6/14,8238598
AL,2019/6/15,8164424
AL,2019/6/16,8047320
AL,2019/6/17,8164386
AL,2019/6/18,8183440
AL,2019/6/19,8160722
AL,2019/6/20,8157878
AL,2019/6/21,8192486
AL,2019/6/22,8081598
AL,2019/6/23,8157834
AL,2019/6/24,8231192
AL,2019/6/25,8067684
AL,2019/6/26,8040754
AL,2019/6/27,8103590
AL,2019/6/28,8121750
AL,2019/6/29,8002236
AL,2019/6/30,7995866
AL,2019/7/1,8135910
AL,2019/7/2,8154552
AL,2019/7/3,8192562
AL,2019/7/4,8027138
AL,2019/7/5,8136144
AL,2019/7/6,8065520
AL,2019/7/7,7960898
AL,2019/7/8,8103306
AL,2019/7/9,8085808
AL,2019/7/10,8107496
AL,2019/7/11,8119730
AL,2019/7/12,8197090
AL,2019/7/13,8034574
AL,2019/7/14,7993460
AL,2019/7/15,8152840
AL,2019/7/16,8154524
AL,2019/7/17,8126532
AL,2019/7/18,8137394
AL,2019/7/19,8142152
AL,2019/7/20,8070004
AL,2019/7/21,7991500
AL,2019/7/22,8090816
AL,2019/7/23,8094208
AL,2019/7/24,8101858
AL,2019/7/25,8100062
AL,2019/7/26,8123926
AL,2019/7/27,8021618
AL,2019/7/28,7934942
AL,2019/7/29,8095370
AL,2019/7/30,8051854
AL,2019/7/31,8104550
AL,2019/8/1,8146900
AL,2019/8/2,8169048
AL,2019/8/3,8029722
AL,2019/8/4,7935430
AL,2019/8/5,8075294
AL,2019/8/6,8009958
AL,2019/8/7,7968048
AL,2019/8/8,8064602
AL,2019/8/9,8350004
AL,2019/8/10,8176038
AL,2019/8/11,8047616
AL,2019/8/12,8106342
AL,2019/8/13,8105052
AL,2019/8/14,8157418
AL,2019/8/15,8164498
AL,2019/8/16,8433434
AL,2019/8/17,8268252
AL,2019/8/18,8118684
AL,2019/8/19,8320934
AL,2019/8/20,8220256
AL,2019/8/21,8211400
AL,2019/8/22,8293946
AL,2019/8/23,8214124
AL,2019/8/24,8122366
AL,2019/8/25,8116256
AL,2019/8/26,8259268
AL,2019/8/27,8287358
AL,2019/8/28,8246980
AL,2019/8/29,8194066
AL,2019/8/30,8230730
AL,2019/8/31,8015354
AL,2019/9/1,7952716
AL,2019/9/2,7921414
AL,2019/9/3,8155642
AL,2019/9/4,8156610
AL,2019/9/5,8171764
AL,2019/9/6,8184472
AL,2019/9/7,7998386
AL,2019/9/8,7844746
AL,2019/9/9,8101246
AL,2019/9/10,8172066
AL,2019/9/11,8183196
AL,2019/9/12,8178490
AL,2019/9/13,8255870
AL,2019/9/14,8077450
AL,2019/9/15,8011976
AL,2019/9/16,8142176
AL,2019/9/17,8125876
AL,2019/9/18,8146604
AL,2019/9/19,8134210
AL,2019/9/20,8103222
AL,2019/9/21,7959390
AL,2019/9/22,7939052
AL,2019/9/23,8039586
AL,2019/9/24,8110786
AL,2019/9/25,8119260
AL,2019/9/26,8126166
AL,2019/9/27,8089872
AL,2019/9/28,7971370
AL,2019/9/29,8004154
AL,2019/9/30,7903256
AL,2019/10/1,8200212
AL,2019/10/2,8068524
AL,2019/10/3,8065248
AL,2019/10/4,7925948
AL,2019/10/5,7859116
AL,2019/10/6,7725380
AL,2019/10/7,7898624
AL,2019/10/8,7953380
AL,2019/10/9,7899524
AL,2019/10/10,8266376
AL,2019/10/11,8222632
AL,2019/10/12,8088838
AL,2019/10/13,8079320
AL,2019/10/14,8204812
AL,2019/10/15,7935780
AL,2019/10/16,7928636
AL,2019/10/17,7953228
AL,2019/10/18,8036232
AL,2019/10/19,7856866
AL,2019/10/20,7802682
AL,2019/10/21,7943738
AL,2019/10/22,7945788
AL,2019/10/23,7972842
AL,2019/10/24,8208962
AL,2019/10/25,8208256
AL,2019/10/26,7905350
AL,2019/10/27,7900832
AL,2019/10/28,8143572
AL,2019/10/29,8140958
AL,2019/10/30,7443004
AL,2019/10/31,8173898
AL,2019/11/1,8279772
AL,2019/11/2,7993276
AL,2019/11/3,7857008
AL,2019/11/4,8133876
AL,2019/11/5,8118612
AL,2019/11/6,8114188
AL,2019/11/7,8137478
AL,2019/11/8,8163938
AL,2019/11/9,7907722
AL,2019/11/10,7907822
AL,2019/11/11,7991846
AL,2019/11/12,8087666
AL,2019/11/13,8116092
AL,2019/11/14,8143674
AL,2019/11/15,8159672
AL,2019/11/16,7623534
AL,2019/11/17,7881212
AL,2019/11/18,8169110
AL,2019/11/19,7735928
AL,2019/11/20,8146700
AL,2019/11/21,8153284
AL,2019/11/22,8193784
AL,2019/11/23,7853530
AL,2019/11/24,7810820
AL,2019/11/25,8071214
AL,2019/11/26,8091070
AL,2019/11/27,8121810
AL,2019/11/28,7758520
AL,2019/11/29,8015520
AL,2019/11/30,7855926
AL,2019/12/1,7794556
AL,2019/12/2,8077600
AL,2019/12/3,8111368
AL,2019/12/4,8097478
AL,2019/12/5,8118246
AL,2019/12/6,8122036
AL,2019/12/7,7904968
AL,2019/12/8,7722066
AL,2019/12/9,7691526
AL,2019/12/10,8064598
AL,2019/12/11,8087608
AL,2019/12/12,8152978
AL,2019/12/13,8154076
AL,2019/12/14,7947792
AL,2019/12/15,7829170
AL,2019/12/16,8117900
AL,2019/12/17,7835780
AL,2019/12/18,8143866
AL,2019/12/19,7695436
AL,2019/12/20,8236716
AL,2019/12/21,8010116
AL,2019/12/22,7925960
AL,2019/12/23,8115364
AL,2019/12/24,8025458
AL,2019/12/25,7757914
AL,2019/12/26,7926708
AL,2019/12/27,8015900
AL,2019/12/28,7864388
AL,2019/12/29,7515440
AL,2019/12/30,7906130
AL,2019/12/31,8223954
AL,2020/1/1,7662720
AL,2020/1/2,8019180
AL,2020/1/3,8110622
AL,2020/1/4,7955806
AL,2020/1/5,7804946
AL,2020/1/6,8100930
AL,2020/1/7,8147908
AL,2020/1/8,8159622
AL,2020/1/9,8152510
AL,2020/1/10,8189804
AL,2020/1/11,7749822
AL,2020/1/12,7852526
AL,2020/1/13,8117320
AL,2020/1/14,8117860
AL,2020/1/15,8146716
AL,2020/1/16,8176636
AL,2020/1/17,8213068
AL,2020/1/18,7952958
AL,2020/1/19,7824022
AL,2020/1/20,7940014
AL,2020/1/21,8094988
AL,2020/1/22,8160272
AL,2020/1/23,8115726
AL,2020/1/24,8186386
AL,2020/1/25,7973686
AL,2020/1/26,7836588
AL,2020/1/27,8116476
AL,2020/1/28,8128244
AL,2020/1/29,8098614
AL,2020/1/30,8167390
AL,2020/1/31,8234532
AL,2020/2/1,8026262
AL,2020/2/2,7922784
AL,2020/2/3,8194828
AL,2020/2/4,8205874
AL,2020/2/5,8169712
AL,2020/2/6,8176462
AL,2020/2/7,8287668
AL,2020/2/8,8055432
AL,2020/2/9,7743863
AL,2020/2/10,8176336
AL,2020/2/11,8289177
AL,2020/2/12,8267845
AL,2020/2/13,8315376
AL,2020/2/14,8323806
AL,2020/2/15,8084728
AL,2020/2/16,7835730
AL,2020/2/17,7651262
AL,2020/2/18,8202536
AL,2020/2/19,8282274
AL,2020/2/20,8186309
AL,2020/2/21,8244936
AL,2020/2/22,8208445
AL,2020/2/23,7888410
AL,2020/2/24,8058520
AL,2020/2/25,8265055
AL,2020/2/26,8181808
AL,2020/2/27,8257882
AL,2020/2/28,8311816
AL,2020/2/29,8161041
AL,2020/3/1,7996301
AL,2020/3/2,8164227
AL,2020/3/3,8346227
AL,2020/3/4,8282141
AL,2020/3/5,8404854
AL,2020/3/6,8399264
AL,2020/3/7,8246868
AL,2020/3/8,8040968
AL,2020/3/9,8250045
AL,2020/3/10,8275338
AL,2020/3/11,8262825
AL,2020/3/12,8196576
AL,2020/3/13,8241505
AL,2020/3/14,7900055
AL,2020/3/15,7646129
AL,2020/3/16,7972448
AL,2020/3/17,7770242
AL,2020/3/18,7696714
AL,2020/3/19,7642634
AL,2020/3/20,7637180
AL,2020/3/21,7368807
AL,2020/3/22,7354908
AL,2020/3/23,7675104
AL,2020/3/24,7675040
AL,2020/3/25,7703912
AL,2020/3/26,7715188
AL,2020/3/27,7741486
AL,2020/3/28,7567100
AL,2020/3/29,7310904
AL,2020/3/30,7675372
AL,2020/3/31,7585778
AL,2020/4/1,7683010
AL,2020/4/2,7669566
AL,2020/4/3,7742156
AL,2020/4/4,7493888
AL,2020/4/5,7203634
AL,2020/4/6,7549304
AL,2020/4/7,7591484
AL,2020/4/8,7589964
AL,2020/4/9,7588730
AL,2020/4/10,7683756
AL,2020/4/11,7531604
AL,2020/4/12,7000077
AL,2020/4/13,7548624
AL,2020/4/14,7522631
AL,2020/4/15,7595338
AL,2020/4/16,7483082
AL,2020/4/17,7666848
AL,2020/4/18,7446725
AL,2020/4/19,7326751
AL,2020/4/20,7667896
AL,2020/4/21,7735476
AL,2020/4/22,7723436
AL,2020/4/23,7638312
AL,2020/4/24,7851252
AL,2020/4/25,7651798
AL,2020/4/26,7487936
AL,2020/4/27,7780252
AL,2020/4/28,7794186
