"","date","state","PM2.5","CO","NO2","PM10","SO2","AQ_PM2.5","AQ_CO","AQ_NO2","AQ_PM10","AQ_SO2"
"238",2020-02-24,"alaska",NA,NA,NA,23,NA,NA,NA,NA,"Good",NA
"239",2020-02-25,"alaska",4.6,NA,NA,23,NA,"Good",NA,NA,"Good",NA
"240",2020-02-26,"alaska",2.5,NA,NA,24,NA,"Good",NA,NA,"Good",NA
"241",2020-02-27,"alaska",7.1,NA,NA,23,NA,"Good",NA,NA,"Good",NA
"242",2020-02-28,"alaska",6.5,NA,NA,25,NA,"Good",NA,NA,"Good",NA
"243",2020-02-29,"alaska",4.6,NA,NA,26,NA,"Good",NA,NA,"Good",NA
"244",2020-03-01,"alaska",0.2,NA,NA,11,NA,"Good",NA,NA,"Good",NA
"245",2020-03-02,"alaska",2,NA,NA,13,NA,"Good",NA,NA,"Good",NA
"246",2020-03-03,"alaska",3.1,NA,NA,20,NA,"Good",NA,NA,"Good",NA
"247",2020-03-04,"alaska",3.6,NA,NA,14,NA,"Good",NA,NA,"Good",NA
"248",2020-03-05,"alaska",2.7,NA,NA,24,NA,"Good",NA,NA,"Good",NA
"249",2020-03-06,"alaska",5.6,NA,NA,27,NA,"Good",NA,NA,"Good",NA
"250",2020-03-07,"alaska",5.1,NA,NA,10,NA,"Good",NA,NA,"Good",NA
"251",2020-03-08,"alaska",2.9,NA,NA,14,NA,"Good",NA,NA,"Good",NA
"252",2020-03-09,"alaska",1.8,NA,NA,11,NA,"Good",NA,NA,"Good",NA
"253",2020-03-10,"alaska",2.5,NA,NA,5,NA,"Good",NA,NA,"Good",NA
"254",2020-03-11,"alaska",5,NA,NA,24,NA,"Good",NA,NA,"Good",NA
"255",2020-03-12,"alaska",5,NA,NA,18,NA,"Good",NA,NA,"Good",NA
"256",2020-03-13,"alaska",7.2,NA,NA,14,NA,"Good",NA,NA,"Good",NA
"257",2020-03-14,"alaska",8.7,NA,NA,19,NA,"Good",NA,NA,"Good",NA
"258",2020-03-15,"alaska",5.9,NA,NA,14,NA,"Good",NA,NA,"Good",NA
"259",2020-03-16,"alaska",4.6,NA,NA,8,NA,"Good",NA,NA,"Good",NA
"260",2020-03-17,"alaska",6.2,NA,NA,21,NA,"Good",NA,NA,"Good",NA
"261",2020-03-18,"alaska",5.3,NA,NA,8,NA,"Good",NA,NA,"Good",NA
"262",2020-03-19,"alaska",4,NA,NA,4,NA,"Good",NA,NA,"Good",NA
"263",2020-03-20,"alaska",NA,NA,NA,9,NA,NA,NA,NA,"Good",NA
"264",2020-03-21,"alaska",NA,NA,NA,9,NA,NA,NA,NA,"Good",NA
"265",2020-03-22,"alaska",2.7,NA,NA,3,NA,"Good",NA,NA,"Good",NA
"266",2020-03-23,"alaska",NA,NA,NA,10,NA,NA,NA,NA,"Good",NA
"267",2020-03-24,"alaska",NA,NA,NA,10,NA,NA,NA,NA,"Good",NA
"268",2020-03-25,"alaska",5.5,NA,NA,1,NA,"Good",NA,NA,"Good",NA
"269",2020-03-26,"alaska",5.2,NA,NA,9,NA,"Good",NA,NA,"Good",NA
"270",2020-03-27,"alaska",3.7,NA,NA,13,NA,"Good",NA,NA,"Good",NA
"271",2020-03-28,"alaska",4.2,NA,NA,4,NA,"Good",NA,NA,"Good",NA
"272",2020-03-29,"alaska",5,NA,NA,10,NA,"Good",NA,NA,"Good",NA
"273",2020-03-30,"alaska",4.5,NA,NA,14,NA,"Good",NA,NA,"Good",NA
"274",2020-03-31,"alaska",5.7,NA,NA,10,NA,"Good",NA,NA,"Good",NA
"275",2020-04-01,"alaska",5,NA,NA,NA,NA,"Good",NA,NA,NA,NA
"276",2020-04-02,"alaska",4.3,NA,NA,NA,NA,"Good",NA,NA,NA,NA
"277",2020-04-03,"alaska",2.3,NA,NA,NA,NA,"Good",NA,NA,NA,NA
"278",2020-04-04,"alaska",2.1,NA,NA,NA,NA,"Good",NA,NA,NA,NA
"279",2020-04-05,"alaska",2.6,NA,NA,NA,NA,"Good",NA,NA,NA,NA
"280",2020-04-06,"alaska",2.5,NA,NA,NA,NA,"Good",NA,NA,NA,NA
"281",2020-04-07,"alaska",2.8,NA,NA,NA,NA,"Good",NA,NA,NA,NA
"282",2020-04-08,"alaska",2.1,NA,NA,NA,NA,"Good",NA,NA,NA,NA
"283",2020-04-09,"alaska",3.6,NA,NA,NA,NA,"Good",NA,NA,NA,NA
"284",2020-04-10,"alaska",3.9,NA,NA,NA,NA,"Good",NA,NA,NA,NA
"285",2020-04-11,"alaska",8.4,NA,NA,NA,NA,"Good",NA,NA,NA,NA
